sample_id,set,cluster,condition,replicate,target_text_similarity,target_text_margin_vs_max_other,target_text_top1,visual_prototype_similarity,visual_prototype_margin_vs_max_other,visual_prototype_top1
B4_F_R6,B,4,Free,6,0.2962632179260254,-0.008254289627075195,0,0.8081283569335938,-0.04849112033843994,0
B4_S_R4,B,4,Semantic,4,0.3540477752685547,0.009034514427185059,1,0.8522436618804932,0.005282402038574219,1
B4_S_R5,B,4,Semantic,5,0.3473590612411499,-0.0026631951332092285,0,0.8297336101531982,0.005623817443847656,1
B4_S_R6,B,4,Semantic,6,0.3521859645843506,0.007737457752227783,1,0.832510769367218,-0.00019985437393188477,0
B5_F_R4,B,5,Free,4,0.2868930995464325,-0.03683584928512573,0,0.8531965017318726,-0.00742185115814209,0
B5_F_R5,B,5,Free,5,0.2914661765098572,-0.0311146080493927,0,0.8641449213027954,0.013641119003295898,1
B5_F_R6,B,5,Free,6,0.3120269179344177,-0.016087234020233154,0,0.8653071522712708,-0.00026679039001464844,0
B5_S_R4,B,5,Semantic,4,0.3145897686481476,0.005776137113571167,1,0.8054160475730896,-0.008042871952056885,0
B5_S_R5,B,5,Semantic,5,0.3328682482242584,0.008896499872207642,1,0.7949913740158081,-0.019648194313049316,0
B5_S_R6,B,5,Semantic,6,0.34051549434661865,0.012794196605682373,1,0.8275496959686279,0.009025812149047852,1
