sample_id,set,cluster,condition,replicate,target_text_similarity,target_text_margin_vs_max_other,target_text_top1,visual_prototype_similarity,visual_prototype_margin_vs_max_other,visual_prototype_top1
A0_F_R4,A,0,Free,4,0.2742890417575836,-0.018385320901870728,0,0.8412271738052368,0.010091543197631836,1
A0_F_R5,A,0,Free,5,0.28794777393341064,-0.029371291399002075,0,0.8387495279312134,0.0193939208984375,1
A0_F_R6,A,0,Free,6,0.2840072810649872,-0.029347151517868042,0,0.840520977973938,-0.004474163055419922,0
A0_S_R4,A,0,Semantic,4,0.312749981880188,-0.0027069449424743652,0,0.7993898391723633,0.0032886266708374023,1
A0_S_R5,A,0,Semantic,5,0.28869888186454773,-0.016492336988449097,0,0.8387801647186279,-0.03020954132080078,0
A0_S_R6,A,0,Semantic,6,0.31594836711883545,-0.018601715564727783,0,0.8888318538665771,0.0030760765075683594,1
A1_F_R4,A,1,Free,4,0.2381552755832672,-0.02446269989013672,0,0.7553108334541321,-0.0279843807220459,0
A1_F_R5,A,1,Free,5,0.25964587926864624,-0.004544496536254883,0,0.8388936519622803,-9.995698928833008e-05,0
A1_F_R6,A,1,Free,6,0.24046960473060608,-0.030356258153915405,0,0.773600697517395,-0.0167769193649292,0
A1_S_R4,A,1,Semantic,4,0.2988722026348114,-0.0025977790355682373,0,0.8764342069625854,-0.009032130241394043,0
A1_S_R5,A,1,Semantic,5,0.3035169839859009,0.003341972827911377,1,0.8553581237792969,-0.009307026863098145,0
A1_S_R6,A,1,Semantic,6,0.27959877252578735,-0.0075151920318603516,0,0.8524251580238342,-0.011339962482452393,0
A2_F_R4,A,2,Free,4,0.30523550510406494,-0.0188596248626709,0,0.8395534753799438,-0.02837473154067993,0
A2_F_R5,A,2,Free,5,0.2798275649547577,-0.011067122220993042,0,0.7736934423446655,-0.04448902606964111,0
A2_F_R6,A,2,Free,6,0.3000549077987671,-0.01942846179008484,0,0.8527868986129761,-0.031028151512145996,0
A2_S_R4,A,2,Semantic,4,0.2975767254829407,0.004752665758132935,1,0.9087846279144287,0.018523871898651123,1
A2_S_R5,A,2,Semantic,5,0.32852479815483093,0.00591278076171875,1,0.9319131374359131,0.018547356128692627,1
A2_S_R6,A,2,Semantic,6,0.3343990445137024,0.002748548984527588,1,0.919112503528595,0.010895788669586182,1
A3_F_R4,A,3,Free,4,0.29721951484680176,-0.0258825421333313,0,0.8251627683639526,-0.05582320690155029,0
A3_F_R5,A,3,Free,5,0.3007483184337616,-0.017255812883377075,0,0.8576245307922363,-0.029873371124267578,0
A3_F_R6,A,3,Free,6,0.2884656488895416,-0.013086766004562378,0,0.8083341121673584,-0.003655552864074707,0
A3_S_R4,A,3,Semantic,4,0.2985749840736389,0.009214460849761963,1,0.8667879700660706,0.005443871021270752,1
A3_S_R5,A,3,Semantic,5,0.31798985600471497,0.022903501987457275,1,0.8799351453781128,0.011956989765167236,1
A3_S_R6,A,3,Semantic,6,0.3291693925857544,0.021740257740020752,1,0.906568706035614,0.005945801734924316,1
A4_F_R4,A,4,Free,4,0.2580810487270355,-0.029639750719070435,0,0.7719501256942749,-0.026466548442840576,0
A4_F_R5,A,4,Free,5,0.26829010248184204,-0.0456540584564209,0,0.782115638256073,-0.053477942943573,0
A4_F_R6,A,4,Free,6,0.28838109970092773,-0.03756946325302124,0,0.8059186339378357,-0.05938762426376343,0
A4_S_R4,A,4,Semantic,4,0.3582295775413513,0.04225531220436096,1,0.8359497785568237,-0.045240819454193115,0
A4_S_R5,A,4,Semantic,5,0.36325129866600037,0.012451320886611938,1,0.836512565612793,-0.0724031925201416,0
A4_S_R6,A,4,Semantic,6,0.32445475459098816,0.017941802740097046,1,0.8164483308792114,-0.040284812450408936,0
A5_F_R4,A,5,Free,4,0.27829796075820923,0.009511291980743408,1,0.7826815247535706,-0.02713876962661743,0
A5_F_R5,A,5,Free,5,0.30275315046310425,0.015460997819900513,1,0.8328795433044434,-0.00421905517578125,0
A5_F_R6,A,5,Free,6,0.30258357524871826,0.014325559139251709,1,0.8482553958892822,-0.00810331106185913,0
A5_S_R4,A,5,Semantic,4,0.3123236298561096,0.022317349910736084,1,0.8766870498657227,0.008394241333007812,1
A5_S_R5,A,5,Semantic,5,0.308665931224823,0.018085122108459473,1,0.8739179372787476,-0.019588828086853027,0
A5_S_R6,A,5,Semantic,6,0.28978437185287476,0.01917940378189087,1,0.7892036437988281,-0.020754754543304443,0
B0_F_R4,B,0,Free,4,0.27948281168937683,-0.02997496724128723,0,0.809355616569519,-0.06955528259277344,0
B0_F_R5,B,0,Free,5,0.3052177131175995,-0.02896013855934143,0,0.8176208734512329,-0.06433272361755371,0
B0_F_R6,B,0,Free,6,0.2901837229728699,-0.03638717532157898,0,0.8036953806877136,-0.062113940715789795,0
B0_S_R4,B,0,Semantic,4,0.30819621682167053,0.03617525100708008,1,0.7810515761375427,0.0012988448143005371,1
B0_S_R5,B,0,Semantic,5,0.34124699234962463,0.04597216844558716,1,0.8219736218452454,-0.0032827258110046387,0
B0_S_R6,B,0,Semantic,6,0.32305607199668884,0.030873805284500122,1,0.8789985775947571,0.009753048419952393,1
B1_F_R4,B,1,Free,4,0.3329967260360718,0.019389629364013672,1,0.7456256747245789,-0.1306895613670349,0
B1_F_R5,B,1,Free,5,0.32680749893188477,-0.0006673038005828857,0,0.7158069610595703,-0.13116037845611572,0
B1_F_R6,B,1,Free,6,0.278774619102478,-0.015013635158538818,0,0.6342741847038269,-0.15200626850128174,0
B1_S_R4,B,1,Semantic,4,0.3588589131832123,0.025651097297668457,1,0.7751094102859497,-0.12370461225509644,0
B1_S_R5,B,1,Semantic,5,0.3715837895870209,0.01341623067855835,1,0.8146225214004517,-0.09576427936553955,0
B1_S_R6,B,1,Semantic,6,0.36177965998649597,0.002276808023452759,1,0.7833734154701233,-0.08905965089797974,0
B2_F_R4,B,2,Free,4,0.2687143087387085,-0.038713932037353516,0,0.7627861499786377,-0.11878657341003418,0
B2_F_R5,B,2,Free,5,0.2861438989639282,-0.040002524852752686,0,0.7451937794685364,-0.09116178750991821,0
B2_F_R6,B,2,Free,6,0.27587074041366577,-0.04153594374656677,0,0.7440579533576965,-0.1195254921913147,0
B2_S_R4,B,2,Semantic,4,0.2953362464904785,0.019604980945587158,1,0.7823405265808105,-0.0036132335662841797,0
B2_S_R5,B,2,Semantic,5,0.2901642322540283,0.012984544038772583,1,0.7625979781150818,-0.03383016586303711,0
B2_S_R6,B,2,Semantic,6,0.2968823313713074,0.01300269365310669,1,0.7856018543243408,-0.003278493881225586,0
B3_F_R4,B,3,Free,4,0.28061240911483765,-0.03526836633682251,0,0.8631110191345215,-0.011404871940612793,0
B3_F_R5,B,3,Free,5,0.27626657485961914,-0.023954778909683228,0,0.8284263014793396,-0.02181166410446167,0
B3_F_R6,B,3,Free,6,0.282680869102478,-0.03370106220245361,0,0.8473228812217712,-0.009742915630340576,0
B3_S_R4,B,3,Semantic,4,0.2935955822467804,-0.002770066261291504,0,0.7996220588684082,0.021598100662231445,1
B3_S_R5,B,3,Semantic,5,0.2831047475337982,-0.022966891527175903,0,0.852617621421814,0.012828588485717773,1
B3_S_R6,B,3,Semantic,6,0.2872653901576996,-0.021205008029937744,0,0.8736004829406738,0.028614401817321777,1
B4_F_R4,B,4,Free,4,0.28814008831977844,-0.013849437236785889,0,0.7938628792762756,-0.05900806188583374,0
B4_F_R5,B,4,Free,5,0.29725542664527893,-0.008224129676818848,0,0.8343362808227539,-0.03664278984069824,0
